StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       01,      00,   198401,   4.05,   40.3,   -.24,   2.84,   -.71,   2.49,      2,    801,   -.43,   1.02,   1.66,   1.17,   1.02,   1.77,   1.76,     29,   51.7,
       01,      00,   198402,   4.03,   48.6,   -.57,   2.18,  -1.08,   1.36,      4,    489,   -.51,   -.77,    .57,    1.2,    .52,   1.48,   1.53,   35.5,   61.7,
       01,      00,   198403,   4.96,   53.7,   -.84,   1.63,   -.98,     .4,     15,    397,   -.32,   -.63,   -.83,    .77,    .04,    1.1,   1.65,   40.7,   66.8,
       01,      00,   198404,   5.42,     61,     .2,   1.66,     .6,    .65,     29,    171,    .41,   -.02,   -.31,    .88,    .64,    .63,   1.45,   49.3,   72.8,
       01,      00,   198405,   5.88,   68.8,    .86,   2.17,   2.03,   1.83,    140,     44,    .94,    .82,     .4,    .54,   1.02,    .54,   1.76,   56.2,   81.3,
       01,      00,   198406,   2.31,     77,    .21,   1.39,  -1.66,    .39,    352,      0,  -1.34,   -.05,    .16,   -.48,     .6,    .02,   1.48,     64,   90.2,
       01,      00,   198407,   5.76,   78.2,    .31,   1.37,    .37,    .49,    397,      0,    .38,   -.53,     .1,   -.24,    .71,    .51,   1.43,   67.5,     89,
       01,      00,   198408,   5.61,   77.3,    .84,   1.79,   1.67,   1.42,    372,      0,     .8,    .66,   -.07,    .17,    .38,    .85,   1.62,   67.2,   87.4,
       01,      00,   198409,    .62,   72.5,    -.9,     .7,  -2.71,   -.74,    218,     12,  -2.21,   -.82,   -.47,   -.26,   -.68,    .33,   1.36,   59.3,   85.7,
       01,      00,   198410,   5.22,   69.5,   -.33,   1.11,   1.45,    .24,    167,     45,   1.21,   -.19,    .15,    .11,   -.18,    .72,   1.58,     58,     81,
       01,      00,   198411,    3.9,   51.8,   -.22,   1.07,    .22,    .28,      3,    422,    .25,    .87,   -.06,   -.23,    .05,    .28,   1.41,     39,   64.5,
       01,      00,   198412,   2.77,   55.1,   -.99,   -.99,  -2.37,   -.99,     26,    361,  -1.26,   -.75,     .1,   -.31,   -.18,   -.56,   1.04,   43.5,   66.6,
       01,      00,   198501,    3.9,   37.2,  -1.14,  -1.14,   -.75,  -1.14,      1,    896,   -.52,  -1.24,   -.93,   -.63,   -.51,   -.57,    .99,   25.9,   48.5,
       01,      00,   198502,   6.43,   45.5,    -.6,    -.6,   1.26,    .32,      2,    583,     .7,    .12,   -.64,   -.58,   -.63,   -.28,    .88,   34.8,   56.3,
       01,      00,   198503,   2.49,   58.7,  -1.69,  -1.69,  -3.45,  -1.69,     41,    268,  -1.62,   -.66,   -.89,   -.62,   -.82,   -.61,    .36,   46.4,   70.9,
       01,      00,   198504,   2.93,     64,   -2.1,   -2.1,  -1.77,   -2.1,     56,    102,   -.78,  -1.78,   -.97,  -1.35,  -1.14,     -1,   -.27,   50.6,   77.4,
       01,      00,   198505,   4.11,   70.6,   -.01,   -1.9,   -.04,  -1.85,    180,     26,    .06,   -.57,  -1.45,  -1.34,  -1.23,  -1.23,    -.5,   58.9,   82.4,
       01,      00,   198506,   3.87,   77.5,   -.07,  -1.77,   -.19,  -1.73,    357,      0,    -.1,   -.13,   -.58,     -1,   -.83,   -.99,    -.7,     66,     89,
       01,      00,   198507,   7.17,   78.5,    .65,   -.93,   1.95,     .1,    406,      0,   1.03,    .58,    .43,   -.48,   -.92,    -.8,   -.25,   68.2,   88.8,
       01,      00,   198508,   4.79,   78.4,    .96,    .96,   1.13,    .96,    398,      0,    .32,    .88,    .57,   -.71,   -.91,    -.9,   -.11,   68.1,   88.6,
       01,      00,   198509,   3.15,   72.7,    .85,    .85,   -.04,    .85,    220,     12,   -.19,   -.04,    .55,   -.17,   -.65,   -.57,   -.21,     61,   84.4,
       01,      00,   198510,      6,   67.6,   1.76,   1.76,      3,   1.76,    129,     72,   1.49,    .92,    .92,    .88,   -.01,   -.47,    .12,   57.8,   77.4,
       01,      00,   198511,   2.91,   61.2,   -.41,   1.17,  -1.23,     .5,     47,    178,   -.28,    .81,    .52,     .7,    -.3,   -.58,   -.28,   51.4,   71.2,
       01,      00,   198512,   3.56,   41.6,   -.66,    .75,   -.89,   -.37,      0,    758,   -.72,   -.83,    .26,    .47,   -.02,   -.46,   -.79,   29.1,     54,
       01,      00,   198601,   2.13,   43.1,  -1.46,  -1.46,  -2.59,  -1.46,      4,    710,  -1.82,  -1.67,  -1.55,   -.52,   -.21,   -.69,   -.99,     30,   56.2,
       01,      00,   198602,   3.76,   51.5,  -1.81,  -1.81,   -1.5,  -1.81,     11,    416,   -.67,  -1.81,  -1.83,    -.9,   -.47,  -1.16,  -1.05,   39.6,   63.4,
       01,      00,   198603,   4.48,   55.4,  -2.13,  -2.13,  -1.52,  -2.13,     20,    342,   -.54,   -.89,   -1.6,     -1,   -.61,   -.81,  -1.06,   41.3,   69.4,
       01,      00,   198604,    .72,   62.5,  -3.04,  -3.04,  -3.38,  -3.04,     39,    129,  -2.59,  -1.88,  -1.81,  -2.37,  -1.52,  -1.17,   -1.5,     47,     78,
       01,      00,   198605,   4.97,   71.4,  -2.73,  -2.73,   -.02,  -2.68,    200,     18,     .5,  -1.14,  -1.23,  -1.89,  -1.33,  -1.02,  -1.58,   59.5,   83.2,
       01,      00,   198606,   2.68,     79,  -3.07,  -3.07,  -1.86,  -3.07,    405,      0,   -.96,   -.25,  -1.41,  -1.93,  -1.46,  -1.15,  -1.44,   67.8,   90.3,
       01,      00,   198607,   3.89,   82.3,   -3.6,   -3.6,  -2.54,   -3.6,    523,      0,   -.85,  -1.36,   -.67,  -1.69,  -2.14,  -1.54,  -1.57,   70.3,   94.2,
       01,      00,   198608,   4.42,   78.4,  -3.35,  -3.35,   -.35,  -3.35,    400,      0,    .09,   -.59,  -1.04,  -1.59,  -2.06,  -1.62,  -1.62,     67,   89.7,
       01,      00,   198609,   3.83,   76.4,  -3.24,  -3.24,    -.7,  -3.24,    327,      1,    .18,    .09,   -.42,  -1.34,  -1.88,  -1.52,  -1.36,   65.8,   86.8,
       01,      00,   198610,    4.3,   64.4,    .34,  -2.56,   1.03,  -2.08,     75,    118,    .84,    .61,     .5,   -.17,  -1.23,  -1.85,  -1.47,   53.1,   75.6,
       01,      00,   198611,   8.86,   58.8,   1.69,   -.92,   4.13,   1.25,     29,    249,   1.94,   1.82,   1.52,    .72,   -.18,     -1,  -1.05,   49.7,   67.9,
       01,      00,   198612,   3.73,   45.9,    1.2,  -1.14,   -.94,    .56,      2,    622,   -.61,   1.16,   1.31,    .77,    -.2,   -.96,  -1.09,   37.3,   54.5,
       01,      00,   198701,   6.09,     43,   1.42,   -.67,   1.04,    1.3,      4,    713,    .62,   -.05,    1.2,   1.24,    .65,   -.37,   -.85,   32.5,   53.5,
       01,      00,   198702,   7.27,   48.2,   1.89,   1.89,   1.84,   1.89,      4,    494,   1.06,   1.14,    .51,   1.58,     .9,    .06,   -.81,   38.5,     58,
       01,      00,   198703,   4.97,   55.7,   -.39,   1.31,  -1.16,    .69,     22,    334,   -.31,    .38,    .57,   1.28,    .92,    .12,   -.53,   43.6,   67.7,
       01,      00,   198704,    .92,   60.2,  -1.33,  -1.33,  -2.96,  -1.33,     21,    184,  -2.35,  -1.57,   -.63,    .34,    .51,    .15,   -.73,   45.9,   74.6,
       01,      00,   198705,   4.44,   73.4,  -1.42,  -1.42,   -.69,  -1.42,    261,      7,    .23,  -1.29,  -1.18,   -.49,    .51,    .05,   -.71,   62.4,   84.5,
       01,      00,   198706,   5.89,     77,   -.72,   -.72,   1.68,    .28,    349,      0,    .89,    .67,   -.48,    .02,    .69,    .44,   -.54,     66,   87.9,
       01,      00,   198707,   3.29,   80.2,  -1.32,  -1.32,  -2.01,  -1.32,    461,      0,  -1.47,   -.06,      0,   -.52,     .2,    .36,   -.86,   68.6,   91.8,
       01,      00,   198708,   3.71,   81.3,  -1.64,  -1.64,  -1.39,  -1.64,    497,      0,   -.39,  -1.19,   -.33,  -1.15,   -.64,    .28,   -.94,     70,   92.6,
       01,      00,   198709,   2.94,   73.6,  -1.83,  -1.83,  -1.06,  -1.83,    248,      8,   -.31,   -.62,  -1.25,  -1.19,   -.54,    .16,   -.92,   61.3,   85.9,
       01,      00,   198710,    .59,   57.8,  -2.23,  -2.23,  -1.78,  -2.23,     17,    261,  -1.55,  -1.17,  -1.26,   -.91,  -1.07,   -.31,  -1.38,   41.4,   74.2,
